id|code|description|departmentId|type
1834223|E41 Bloq. Filtro|E41 Bloq. Filtro|135|
1834224|E43 Recirc.bomba 32-D3-512|E43 Recirc.bomba 32-D3-512|135|
1834225|E44 Entrada desc.camion a tk|E44 Entrada desc.camion a tk|135|
1834226|E45 By-pass de líneas|E45 By-pass de líneas|135|
1834227|E61 Entrada 32-D9-538|E61 Entrada 32-D9-538|135|
1834228|E62 Bloqueo de filtro|E62 Bloqueo de filtro|135|
1926558|BUQUE|BUQUE|44|
1926559|BUQUE/MUELLE|BUQUE/MUELLE|50|
1926560|BARCO/MUELLE|BARCO/MUELLE|50|
1936151|IRAM|IRAM|114|
1962120|PRC_102|PRC_102|41|
1993871|REGENERADOR DE SOLVENTE|REGENERADOR DE SOLVENTE|42|
2003524|SDA 11D2-330|SDA 11D2-330|43|
2004061|FDO. DESBUTA.BUTADIENO|FDO. DESBUTA.BUTADIENO|14|
2019441|Solucion DFL|Solucion DFL|5|
2019443|852|852|135|
2019444|853|853|135|
2019445|854|854|135|
2019446|855|855|135|
2019447|856|856|135|
2019448|857|857|135|
2019449|858|858|135|
2019450|859|859|135|
2019451|860|860|135|
2019452|861|861|135|
2019453|862|862|135|
2037225|EEE Agua de Proceso|EEE Agua de Proceso|116|
2046095|ZONA CARGADERO CAMIONES|ZONA CARGADERO CAMIONES|150|
2065683|CIMA TORRE 12D14-301|CIMA TORRE 12D14-301|13|
2065684|FDO. TORRE 12D14-301|FDO. TORRE 12D14-301|13|
2115907|651 Succion D3-201|651 Succion D3-201|64|
2116181|652 Descarga D3-201|652 Descarga D3-201|64|
2116182|653 Succion D3-202|653 Succion D3-202|64|
2117775|COMPRESOR FREON NORTE|COMPRESOR FREON NORTE|4|
2117776|COMPRESOR FREON CENTRO|COMPRESOR FREON CENTRO|4|
2117777|COMPRESOR FREON SUR|COMPRESOR FREON SUR|4|
2123227|654 Descarga D3-202|654 Descarga D3-202|64|
2123228|655 Entrada FV-285|655 Entrada FV-285|64|
2123229|656 Reguladora FV-285|656 Reguladora FV-285|64|
2123230|657 Salida FV-285|657 Salida FV-285|64|
2123231|658 Salida FV-274|658 Salida FV-274|64|
2123232|659 Reguladora FV-274|659 Reguladora FV-274|64|
2123233|660 Entrada FV-274|660 Entrada FV-274|64|
2123234|661 Omega bloqueos ExtractoTk516|661 Omega bloqueos ExtractoTk516|64|
2123235|662 Omega bloqueos ExtractoTK516|662 Omega bloqueos ExtractoTK516|64|
2123236|663 Omega bloqueos ExtractoTK513|663 Omega bloqueos ExtractoTK513|64|
2123237|664 Omega bloqueos ExtractoTK513|664 Omega bloqueos ExtractoTK513|64|
2123238|665 Entrada Produccion a Tk 513|665 Entrada Produccion a Tk 513|64|
2123239|666 Aspiracion normal Tk 513|666 Aspiracion normal Tk 513|64|
2123240|667 Aspiracion de la olla Tk 513|667 Aspiracion de la olla Tk 513|64|
2123241|668 Drenaje Tk 513|668 Drenaje Tk 513|64|
2123242|669 Ex aspiracion de agua Tk 513|669 Ex aspiracion de agua Tk 513|64|
2123243|670 Ex aspiracion de agua Tk 513|670 Ex aspiracion de agua Tk 513|64|
2123244|671 Drenaje Tk 513|671 Drenaje Tk 513|64|
2123245|672 Succion D3-220|672 Succion D3-220|64|
2123246|673 Descarga D3-220|673 Descarga D3-220|64|
2123247|674 Recirculacion D3-220|674 Recirculacion D3-220|64|
2123248|675 Succion D3-219|675 Succion D3-219|64|
2123249|676 Descarga D3-219|676 Descarga D3-219|64|
2123251|678 Entrada FV-230|678 Entrada FV-230|64|
2123252|679 By-pass FV-230|679 By-pass FV-230|64|
2123253|680 PSV alivio|680 PSV alivio|64|
2123254|681 Reguladora FV-230|681 Reguladora FV-230|64|
2123255|682 Salida FV-230|682 Salida FV-230|64|
2123256|683 Entrada TV-230|683 Entrada TV-230|64|
2123257|684 By-pass TV-230|684 By-pass TV-230|64|
2123258|685 Reguladora TV-230|685 Reguladora TV-230|64|
2123259|686 Salida TV-230|686 Salida TV-230|64|
2123260|687 Entrada D1-301|687 Entrada D1-301|64|
2123261|688 By-pass D1-301|688 By-pass D1-301|64|
2123262|689 Salida D1-30|689 Salida D1-30|64|
2123263|690 By-pass D2-216|690 By-pass D2-216|64|
2123264|691 Salida lado tubos D2-216|691 Salida lado tubos D2-216|64|
2123265|692 Entrada lado tubos D2-216|692 Entrada lado tubos D2-216|64|
2123266|693 Entrada al PV-350|693 Entrada al PV-350|64|
2123267|694 Reguladora PV-350|694 Reguladora PV-350|64|
2123268|695 By-pass PV-350|695 By-pass PV-350|64|
2123269|696 Salida PV-350|696 Salida PV-350|64|
2123270|697 Succion D3-348|697 Succion D3-348|64|
2123271|698 Descarga D3-348|698 Descarga D3-348|64|
2123272|699 Succion D3-347|699 Succion D3-347|64|
2123273|700 Descarga D3-348|700 Descarga D3-348|64|
2123274|701 Entrada al D2-208|701 Entrada al D2-208|64|
2123275|702 By-pass D2-208|702 By-pass D2-208|64|
